epoch,lr,train_loss,val_loss,val_rmse,val_psnr,val_sam
1,0.00039999608991997767,0.029931542,0.00046214246,0.016049732,6.0963974,33.37495,10.313888986905416
50,0.00039023714854031735,0.002694149,4.04867e-06,0.0036221107,1.5784711,45.84763,3.1516151428222656
100,0.0003619015030545835,0.0023136034,2.8961479e-06,0.003480243,1.5252215,46.201843,2.8911204437414804
150,0.00031776675389947,0.0020883142,2.4425551e-06,0.0032425306,1.412078,46.624775,2.842778186003367
200,0.0002621531178271546,0.0019199185,2.087424e-06,0.002808687,1.2869959,47.613758,2.5139036774635315
250,0.00020050444501939344,0.0017872575,1.9040551e-06,0.002708553,1.2561301,47.86819,2.440059552590052
300,0.00013885533710215908,0.0016903485,1.6992705e-06,0.0026258654,1.223046,48.143734,2.3560490111509957
350,8.324043829298819e-05,0.0016225444,1.5826361e-06,0.0026670229,1.2471005,48.108353,2.369533876578013
400,3.910372237910632e-05,0.0015765721,1.5198082e-06,0.0025396233,1.2031924,48.381,2.314524253209432
450,1.0765598632744957e-05,0.0015506371,1.4696501e-06,0.0025293154,1.2027268,48.409485,2.3008894522984824
500,1.000000049519292e-06,0.001546211,1.4885412e-06,0.0025263291,1.2014352,48.42323,2.299100011587143
