epoch,lr,train_loss,val_loss,val_rmse,val_psnr,val_sam
1,0.00039999608991997767,0.027407587,0.00037584154,0.014775572,5.6312675,34.00324,9.277743061383566
50,0.00039023714854031735,0.0027599987,3.977715e-06,0.0039020488,1.6543161,45.34111,3.204468548297882
100,0.0003619015030545835,0.0022169955,2.7847686e-06,0.0034990113,1.5194284,46.04334,2.855451246102651
150,0.00031776675389947,0.0020166282,2.328727e-06,0.003137331,1.3902017,46.903584,2.9268489380677543
200,0.0002621531178271546,0.0019177285,2.065885e-06,0.0027962662,1.2753893,47.684845,2.6135564744472504
250,0.00020050444501939344,0.0017686674,1.8234888e-06,0.002778878,1.2805763,47.774414,2.4467654824256897
300,0.00013885533710215908,0.0016926809,1.6742358e-06,0.0026392078,1.2309438,48.116024,2.405017832914988
350,8.324043829298819e-05,0.0016173633,1.585246e-06,0.0025803926,1.2108257,48.300446,2.3819654484589896
400,3.910372237910632e-05,0.0015735491,1.4938121e-06,0.0025603017,1.2130916,48.326015,2.31881050268809
450,1.0765598632744957e-05,0.0015477532,1.4649239e-06,0.0025342861,1.2057225,48.403614,2.307433029015859
500,1.000000049519292e-06,0.0015408619,1.4452311e-06,0.0025343862,1.2064922,48.40718,2.305557072162628
